1) Als je een spreuk zou kunnen gebruiken, welke zou dat dan zijn?;Alohomora,; dan kan je overal binnenkomen; en houden sloten je niet tegen;Obliviate, als iemand iets weet wat hij niet hoort; te weten wis je gewoon zijn/haar geheugen.; Probleem opgelost...toch?;Expelliarmus,; zo kan niemand je meer; wat doen en heb je de controle.;Expecto patronum,; dan heb je iemand die jou ;beschermt en gevoed wordt door jouw herinneringen
2) Je bent net klaar met de les en hebt wat vrije tijd, waar ga je naartoe?;Het verboden bos, je gaat het bos in om erachter;(wellicht zonder toestemming); Want waarom is het nou zo verboden?;Naar perkamentus, je hebt net gehoord dat je vriend; misschien van school wordt geschorst en je moet; er alles aan doen om hem hier te houden.;De bibliotheek,; het is er al een tijdje een bende en; je wil alles eigenlijk op orde hebben;De leerlingenkamer,; je wil eigenlijk best; wel te weten komen hoe iedereen is.
3) Je bent net nieuw op zweinstein en je wordt geplaatst in een afdeling, welke zou dit zijn?;Zwadderich,; jij weet precies wat je wil en; doet er alles voor om dat ook te bereiken.;Griffoendor,; als er een probleem is ga; jij door vuur en vlam om het op te lossen;Ravenklauw,; je hebt veel kennis van alles en; je houdt ervan om alles op orde te hebben.;Huffelpuf,; je bent loyaal en ;gaat goed met alle studenten om
4) Er is net een incident gebeurd op school en iedereen moet direct naar zijn/haar slaapkamer. Wat zou jij doen?;Je gaat op zoek naar wat er voor het; incident gezorgd heeft, je moet per se weten; hoe dat nou is gebeurd en of het voorkomen kan worden;Je accepteert dat het is gebeurd en gaat; naar je slaapkamer, maar je gaat gelijk bedenken hoe; je kan voorkomen dat dit niet weer gebeurd;Je gaat naar je kamer; en kijkt of iedereen er is,; je wil zeker weten dat er niemand mist.;Je gaat naar je kamer; en gaat met iedereen praten om te; weten of het wel goed met ze gaat.
5) Je krijgt laat aan het einde van de dag te horen dat de les de volgende dag komen te vervallen is. Wat zou je doen?;Je onderzoekt of dat echt zo is.; Je wilt kost op wat het kost; zeker weten of het klopt.;Kan je weinig aan doen, maar gaat; zelfstandig of met andere leerlingen die; tijd gebruiken om verder te oefenen.;Je zoekt een manier om samen; met paar andere leerlingen voor een invaller te; zorgen om de les toch te laten plaatsvinden.;Je zoekt; meerdere leerlingen op; om te vragen of het echt zo is.
6) Je wordt betrapt op het overtreden van een van de regels op Zweinstein. Wat is het eerste wat je doet?;Je bedenkt per direct; een smoes om; detentie te voorkomen.;Je weet niks te verzinnen dus moet je nablijven; bij de volgende les. Je zorgt ervoor dat wat; er is gebeurd de volgende keer niet gebeurt.;Je wist totaal van niks dus zeg je dat het je spijt.;Je wilt alles te weten komen om zo geen informatie; te missen en zorgen dat het niet nog een keer gebeurt.;Je gaat; een lange discussie aan; en sluit uiteindelijk een deal.
7) Een van de slimme leerlingen op Zweinstein daagt je uit om een vraag die is meegekregen tijdens les op te lossen. Wat ga je doen?;Je houdt van uitdagingen; dus ga je uitzoeken wat; het juiste antwoord ervoor is.;Je geeft toe dat je het niet weet maar; zorgt ervoor dat je volgende keer voorbereid bent; en meteen weet wat je moet zeggen.;Je geeft toe dat je het niet weet; maar vraagt meteen informatie op wat het; juiste antwoord is en waarom dat zo is.;Je vind het een wat te lastige vraag dus vraag; je andere leerlingen om hulp en spreken jullie; het uit om uiteindelijk aan de antwoord te komen
8) Je bent nieuw op Zweinstein en je wilt naar de Grote Zaal. Je wilt graag weten wat daar allemaal is. Wat doe je als eerst?;Je bent zelfstandig dus onderzoek; je het pad om uiteindelijk bij; de Grote Zaal terecht te komen.;Je komt er maar niet uit,; maar geeft niet op om uiteindelijk het; juiste pad te vinden naar de Grote Zaal.;Je bent goed voorbereid,; je hebt hier en daar wat informatie opgedaan; en weet hoe je daar terecht moet komen.;Je komt er maar niet uit dus vraag; je een van de leerlingen die je toevallig zag; langs lopen hoe je daar terecht kan komen.
9) Je hebt je cijfer van de laatste toets gekregen en dat valt tegen. Wat zou je doen?;Je gaat; uitzoeken waarom je dat ;cijfer behaald hebt.;Je accepteert het cijfer,; maar je gaat een plan bedenken om; de toets de volgende keer beter te maken.;Je gaat; zonder dat iemand erachter komt; het cijfer veranderen in de sheet.;Je gaat; een gesprek aan; met je docent.
10) Je merkt dat iemand je een paar dagen na schooltijd achtervolgt, maar je kent die persoon niet. Hoe ga je hiermee om?;Je wilt per se weten wie degene is,; dus je maakt zonder dat hij het ziet een foto; van hem en je vraagt op school of ze hem herkennen.;Je probeert hem te ontwijken; door de volgende keer; een omweg te nemen.;Je gaat naar de politie; om te kijken; of ze iets over hem kunnen vinden.;Je gaat met hem het gesprek aan; om erachter te komen; wat er aan de hand is.
11) Er gaan geruchten rond dat iemand brand wil steken in Zweinstein. Wat ga je doen?;Je wilt dit tegengaan,; dus je wilt degene die het van plan is; opsporen.; Je wilt; weten hoe de anderen; de geruchten weten.;Je gaat kijken; of er iets opvallends; te zien is in het gebouw.; Je twijfelt of de geruchten waar zijn,; dus je gaat praten met de personen; die de geruchten verspreiden.
